स्थिति,सूत्र
रागद्वेषविमुक्तैस् तु,-
रागद्वेषविमुक्तैरुँ तु,[[ससजुषो रुः (8.2.66)]]
रागद्वेषविमुक्तैर् तु,[[तस्य लोपः (1.3.9)]]
रागद्वेषविमुक्तैः तु,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
रागद्वेषविमुक्तैस् तु,[[विसर्जनीयस्य सः (8.3.34)]]
तु विषयान्,-
विषयान् इन्द्रियैस्,-
इन्द्रियैस् चरन्,-
इन्द्रियैरुँ चरन्,[[ससजुषो रुः (8.2.66)]]
इन्द्रियैर् चरन्,[[तस्य लोपः (1.3.9)]]
इन्द्रियैः चरन्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
इन्द्रियैस् चरन्,[[विसर्जनीयस्य सः (8.3.34)]]
इन्द्रियैश् चरन्,[[स्तोः श्चुना श्चुः (8.4.40)]]
चरन्,-
आत्मवश्यैस् विधेयात्मा,-
आत्मवश्यैरुँ विधेयात्मा,[[ससजुषो रुः (8.2.66)]]
आत्मवश्यैर् विधेयात्मा,[[तस्य लोपः (1.3.9)]]
विधेयात्मा प्रसादम्,-
प्रसादम् अधिगच्छति,-
अधिगच्छति,-
