स्थिति,सूत्र
कायेन मनसा,-
मनसा बुद्ध्या,-
बुद्ध्या केवलैस्,-
केवलैस् इन्द्रियैस्,-
केवलैरुँ इन्द्रियैस्,[[ससजुषो रुः (8.2.66)]]
केवलैर् इन्द्रियैस्,[[तस्य लोपः (1.3.9)]]
इन्द्रियैस् अपि,-
इन्द्रियैरुँ अपि,[[ससजुषो रुः (8.2.66)]]
इन्द्रियैर् अपि,[[तस्य लोपः (1.3.9)]]
अपि,-
योगिनस् कर्म,-
योगिनरुँ कर्म,[[ससजुषो रुः (8.2.66)]]
योगिनर् कर्म,[[तस्य लोपः (1.3.9)]]
योगिनः कर्म,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
योगिनः कर्म,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
कर्म कुर्वन्ति,-
कुर्वन्ति सङ्गम्,-
सङ्गम् त्यक्त्वा,-
सङ्गं त्यक्त्वा,[[मोऽनुस्वारः (8.3.23)]]
त्यक्त्वा आत्मशुद्धये,-
त्यक्त्वात्मशुद्धये,[[अकः सवर्णे दीर्घः (6.1.101)]]
त्यक्त्वात्मशुद्धये,-
