स्थिति,सूत्र
उत्तमस् पुरुषस्,-
उत्तमरुँ पुरुषस्,[[ससजुषो रुः (8.2.66)]]
उत्तमर् पुरुषस्,[[तस्य लोपः (1.3.9)]]
उत्तमः पुरुषस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
उत्तमः पुरुषस्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
पुरुषस् तु,-
पुरुषरुँ तु,[[ससजुषो रुः (8.2.66)]]
पुरुषर् तु,[[तस्य लोपः (1.3.9)]]
पुरुषः तु,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
पुरुषस् तु,[[विसर्जनीयस्य सः (8.3.34)]]
तु अन्यस्,-
त्वन्यस्,[[इको यणचि (6.1.77)]]
त्वन्यस् परमात्मा,-
त्वन्यरुँ परमात्मा,[[ससजुषो रुः (8.2.66)]]
त्वन्यर् परमात्मा,[[तस्य लोपः (1.3.9)]]
त्वन्यः परमात्मा,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
त्वन्यः परमात्मा,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
परमात्मा इति,-
परमात्मेति,[[आद्गुणः (6.1.87)]]
परमात्मेति उदाहृतस्,-
परमात्मेत्युदाहृतस्,[[इको यणचि (6.1.77)]]
परमात्मेत्युदाहृतस्,-
परमात्मेत्युदाहृतरुँ,[[ससजुषो रुः (8.2.66)]]
परमात्मेत्युदाहृतर्,[[तस्य लोपः (1.3.9)]]
परमात्मेत्युदाहृतः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
यस् लोकत्रयम्,-
यरुँ लोकत्रयम्,[[ससजुषो रुः (8.2.66)]]
यर् लोकत्रयम्,[[तस्य लोपः (1.3.9)]]
य उ लोकत्रयम्,[[हशि च (6.1.114)]]
यो लोकत्रयम्,[[आद्गुणः (6.1.87)]]
लोकत्रयम् आविश्य,-
आविश्य बिभर्ति,-
बिभर्ति अव्ययस्,-
बिभर्त्यव्ययस्,[[इको यणचि (6.1.77)]]
बिभर्त्यव्ययस् ईश्वरस्,-
बिभर्त्यव्ययरुँ ईश्वरस्,[[ससजुषो रुः (8.2.66)]]
बिभर्त्यव्ययर् ईश्वरस्,[[तस्य लोपः (1.3.9)]]
बिभर्त्यव्ययय् ईश्वरस्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
बिभर्त्यव्यय ईश्वरस्,[[लोपः शाकल्यस्य (8.3.19)]]
ईश्वरस्,-
ईश्वररुँ,[[ससजुषो रुः (8.2.66)]]
ईश्वरर्,[[तस्य लोपः (1.3.9)]]
ईश्वरः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
