स्थिति,सूत्र
स्वधर्मम् अपि,-
अपि च,-
च अवेक्ष्य,-
चावेक्ष्य,[[अकः सवर्णे दीर्घः (6.1.101)]]
चावेक्ष्य न,-
न विकम्पितुम्,-
विकम्पितुम् अर्हसि,-
अर्हसि,-
धर्म्यात् हि,-
धर्म्याद् हि,[[झलां जशोऽन्ते (8.2.39)]]
धर्म्याद्धि,[[झयो होऽन्यतरस्याम् (8.4.62)]]
धर्म्याद्धि युद्धात्,-
युद्धात् श्रेयस्,-
युद्धाद् श्रेयस्,[[झलां जशोऽन्ते (8.2.39)]]
युद्धाज् श्रेयस्,[[स्तोः श्चुना श्चुः (8.4.40)]]
युद्धाच् श्रेयस्,[[खरि च (8.4.55)]]
युद्धाच्छ्रेयस्,[[शशछोऽटि (8.4.63)]]
युद्धाच्छ्रेयस् अन्यत्,-
युद्धाच्छ्रेयरुँ अन्यत्,[[ससजुषो रुः (8.2.66)]]
युद्धाच्छ्रेयर् अन्यत्,[[तस्य लोपः (1.3.9)]]
युद्धाच्छ्रेय उ अन्यत्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
युद्धाच्छ्रेयो अन्यत्,[[आद्गुणः (6.1.87)]]
युद्धाच्छ्रेयोऽन्यत्,[[एङः पदान्तादति (6.1.109)]]
युद्धाच्छ्रेयोऽन्यत् क्षत्रियस्य,-
युद्धाच्छ्रेयोऽन्यद् क्षत्रियस्य,[[झलां जशोऽन्ते (8.2.39)]]
युद्धाच्छ्रेयोऽन्यत् क्षत्रियस्य,[[खरि च (8.4.55)]]
क्षत्रियस्य न,-
न विद्यते,-
विद्यते,-
