स्थिति,सूत्र
आढ्यस् अभिजनवान्,-
आढ्यरुँ अभिजनवान्,[[ससजुषो रुः (8.2.66)]]
आढ्यर् अभिजनवान्,[[तस्य लोपः (1.3.9)]]
आढ्य उ अभिजनवान्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
आढ्यो अभिजनवान्,[[आद्गुणः (6.1.87)]]
आढ्योऽभिजनवान्,[[एङः पदान्तादति (6.1.109)]]
आढ्योऽभिजनवान् अस्मि,-
अस्मि कस्,-
कस् अन्यस्,-
करुँ अन्यस्,[[ससजुषो रुः (8.2.66)]]
कर् अन्यस्,[[तस्य लोपः (1.3.9)]]
क उ अन्यस्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
को अन्यस्,[[आद्गुणः (6.1.87)]]
कोऽन्यस्,[[एङः पदान्तादति (6.1.109)]]
कोऽन्यस् अस्ति,-
कोऽन्यरुँ अस्ति,[[ससजुषो रुः (8.2.66)]]
कोऽन्यर् अस्ति,[[तस्य लोपः (1.3.9)]]
कोऽन्य उ अस्ति,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
कोऽन्यो अस्ति,[[आद्गुणः (6.1.87)]]
कोऽन्योऽस्ति,[[एङः पदान्तादति (6.1.109)]]
कोऽन्योऽस्ति सदृशस्,-
सदृशस् मया,-
सदृशरुँ मया,[[ससजुषो रुः (8.2.66)]]
सदृशर् मया,[[तस्य लोपः (1.3.9)]]
सदृश उ मया,[[हशि च (6.1.114)]]
सदृशो मया,[[आद्गुणः (6.1.87)]]
मया,-
यक्ष्ये दास्यामि,-
दास्यामि मोदिष्ये,-
मोदिष्ये इति,-
मोदिष्यय् इति,[[एचोऽयवायावः (6.1.78)]]
मोदिष्य इति,[[लोपः शाकल्यस्य (8.3.19)]]
इति अज्ञानविमोहितास्,-
इत्यज्ञानविमोहितास्,[[इको यणचि (6.1.77)]]
इत्यज्ञानविमोहितास्,-
इत्यज्ञानविमोहितारुँ,[[ससजुषो रुः (8.2.66)]]
इत्यज्ञानविमोहितार्,[[तस्य लोपः (1.3.9)]]
इत्यज्ञानविमोहिताः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
