स्थिति,सूत्र
यज्ञशिष्टामृतभुजस् यान्ति,-
यज्ञशिष्टामृतभुजरुँ यान्ति,[[ससजुषो रुः (8.2.66)]]
यज्ञशिष्टामृतभुजर् यान्ति,[[तस्य लोपः (1.3.9)]]
यज्ञशिष्टामृतभुज उ यान्ति,[[हशि च (6.1.114)]]
यज्ञशिष्टामृतभुजो यान्ति,[[आद्गुणः (6.1.87)]]
यान्ति ब्रह्म,-
ब्रह्म सनातनम्,-
सनातनम्,-
नायम् लोकस्,-
नायं लोकस्,[[मोऽनुस्वारः (8.3.23)]]
लोकस् अस्ति,-
लोकरुँ अस्ति,[[ससजुषो रुः (8.2.66)]]
लोकर् अस्ति,[[तस्य लोपः (1.3.9)]]
लोक उ अस्ति,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
लोको अस्ति,[[आद्गुणः (6.1.87)]]
लोकोऽस्ति,[[एङः पदान्तादति (6.1.109)]]
लोकोऽस्ति अयज्ञस्य,-
लोकोऽस्त्ययज्ञस्य,[[इको यणचि (6.1.77)]]
लोकोऽस्त्ययज्ञस्य कुतस्,-
कुतस् अन्यस्,-
कुतरुँ अन्यस्,[[ससजुषो रुः (8.2.66)]]
कुतर् अन्यस्,[[तस्य लोपः (1.3.9)]]
कुत उ अन्यस्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
कुतो अन्यस्,[[आद्गुणः (6.1.87)]]
कुतोऽन्यस्,[[एङः पदान्तादति (6.1.109)]]
कुतोऽन्यस् कुरुसत्तम,-
कुतोऽन्यरुँ कुरुसत्तम,[[ससजुषो रुः (8.2.66)]]
कुतोऽन्यर् कुरुसत्तम,[[तस्य लोपः (1.3.9)]]
कुतोऽन्यः कुरुसत्तम,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
कुतोऽन्यः कुरुसत्तम,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
कुरुसत्तम,-
