स्थिति,सूत्र
त्रैविद्यास् माम्,-
त्रैविद्यारुँ माम्,[[ससजुषो रुः (8.2.66)]]
त्रैविद्यार् माम्,[[तस्य लोपः (1.3.9)]]
त्रैविद्याय् माम्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
त्रैविद्या माम्,[[हलि सर्वेषाम् (8.3.22)]]
माम् सोमपास्,-
मां सोमपास्,[[मोऽनुस्वारः (8.3.23)]]
सोमपास् पूतपापास्,-
सोमपारुँ पूतपापास्,[[ससजुषो रुः (8.2.66)]]
सोमपार् पूतपापास्,[[तस्य लोपः (1.3.9)]]
सोमपाः पूतपापास्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
सोमपाः पूतपापास्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
पूतपापास् यज्ञैस्,-
पूतपापारुँ यज्ञैस्,[[ससजुषो रुः (8.2.66)]]
पूतपापार् यज्ञैस्,[[तस्य लोपः (1.3.9)]]
पूतपापाय् यज्ञैस्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
पूतपापा यज्ञैस्,[[हलि सर्वेषाम् (8.3.22)]]
यज्ञैस् इष्ट्वा,-
यज्ञैरुँ इष्ट्वा,[[ससजुषो रुः (8.2.66)]]
यज्ञैर् इष्ट्वा,[[तस्य लोपः (1.3.9)]]
इष्ट्वा स्वर्गतिम्,-
स्वर्गतिम् प्रार्थयन्ते,-
स्वर्गतिं प्रार्थयन्ते,[[मोऽनुस्वारः (8.3.23)]]
प्रार्थयन्ते,-
ते पुण्यम्,-
पुण्यम् आसाद्य,-
आसाद्य सुरेन्द्रलोकम्,-
सुरेन्द्रलोकम् अश्नन्ति,-
अश्नन्ति दिव्यान्,-
दिव्यान् दिवि,-
दिवि देवभोगान्,-
देवभोगान्,-
