स्थिति,सूत्र
श्रेयस् हि,-
श्रेयरुँ हि,[[ससजुषो रुः (8.2.66)]]
श्रेयर् हि,[[तस्य लोपः (1.3.9)]]
श्रेय उ हि,[[हशि च (6.1.114)]]
श्रेयो हि,[[आद्गुणः (6.1.87)]]
हि ज्ञानम्,-
ज्ञानम् अभ्यासात्,-
अभ्यासात् ज्ञानात्,-
अभ्यासाद् ज्ञानात्,[[झलां जशोऽन्ते (8.2.39)]]
अभ्यासाज् ज्ञानात्,[[स्तोः श्चुना श्चुः (8.4.40)]]
ज्ञानात् ध्यानम्,-
ज्ञानाद् ध्यानम्,[[झलां जशोऽन्ते (8.2.39)]]
ध्यानम् विशिष्यते,-
ध्यानं विशिष्यते,[[मोऽनुस्वारः (8.3.23)]]
विशिष्यते,-
ध्यानात् कर्मफलत्यागस्,-
ध्यानाद् कर्मफलत्यागस्,[[झलां जशोऽन्ते (8.2.39)]]
ध्यानात् कर्मफलत्यागस्,[[खरि च (8.4.55)]]
कर्मफलत्यागस् त्यागात्,-
कर्मफलत्यागरुँ त्यागात्,[[ससजुषो रुः (8.2.66)]]
कर्मफलत्यागर् त्यागात्,[[तस्य लोपः (1.3.9)]]
कर्मफलत्यागः त्यागात्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
कर्मफलत्यागस् त्यागात्,[[विसर्जनीयस्य सः (8.3.34)]]
त्यागात् शान्तिस्,-
त्यागाद् शान्तिस्,[[झलां जशोऽन्ते (8.2.39)]]
त्यागाज् शान्तिस्,[[स्तोः श्चुना श्चुः (8.4.40)]]
त्यागाच् शान्तिस्,[[खरि च (8.4.55)]]
त्यागाच्छान्तिस्,[[शशछोऽटि (8.4.63)]]
त्यागाच्छान्तिस् अनन्तरम्,-
त्यागाच्छान्तिरुँ अनन्तरम्,[[ससजुषो रुः (8.2.66)]]
त्यागाच्छान्तिर् अनन्तरम्,[[तस्य लोपः (1.3.9)]]
अनन्तरम्,-
