स्थिति,सूत्र
यतेन्द्रियमनस् बुद्धिस्,-
यतेन्द्रियमनरुँ बुद्धिस्,[[ससजुषो रुः (8.2.66)]]
यतेन्द्रियमनर् बुद्धिस्,[[तस्य लोपः (1.3.9)]]
यतेन्द्रियमन उ बुद्धिस्,[[हशि च (6.1.114)]]
यतेन्द्रियमनो बुद्धिस्,[[आद्गुणः (6.1.87)]]
बुद्धिस् मुनिस्,-
बुद्धिरुँ मुनिस्,[[ससजुषो रुः (8.2.66)]]
बुद्धिर् मुनिस्,[[तस्य लोपः (1.3.9)]]
मुनिस् मोक्षपरायणस्,-
मुनिरुँ मोक्षपरायणस्,[[ससजुषो रुः (8.2.66)]]
मुनिर् मोक्षपरायणस्,[[तस्य लोपः (1.3.9)]]
मोक्षपरायणस्,-
मोक्षपरायणरुँ,[[ससजुषो रुः (8.2.66)]]
मोक्षपरायणर्,[[तस्य लोपः (1.3.9)]]
मोक्षपरायणः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
विगतेच्छाभयक्रोधस् यस्,-
विगतेच्छाभयक्रोधरुँ यस्,[[ससजुषो रुः (8.2.66)]]
विगतेच्छाभयक्रोधर् यस्,[[तस्य लोपः (1.3.9)]]
विगतेच्छाभयक्रोध उ यस्,[[हशि च (6.1.114)]]
विगतेच्छाभयक्रोधो यस्,[[आद्गुणः (6.1.87)]]
यस् सदा,-
यरुँ सदा,[[ससजुषो रुः (8.2.66)]]
यर् सदा,[[तस्य लोपः (1.3.9)]]
यः सदा,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
यः सदा,[[वा शरि (8.3.36)]]
सदा मुक्तस्,-
मुक्तस् एव,-
मुक्तरुँ एव,[[ससजुषो रुः (8.2.66)]]
मुक्तर् एव,[[तस्य लोपः (1.3.9)]]
मुक्तय् एव,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
मुक्त एव,[[लोपः शाकल्यस्य (8.3.19)]]
एव सस्,-
सस्,-
सरुँ,[[ससजुषो रुः (8.2.66)]]
सर्,[[तस्य लोपः (1.3.9)]]
सः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
