स्थिति,सूत्र
बुद्ध्या विशुद्धया,-
विशुद्धया युक्तस्,-
युक्तस् धृत्या,-
युक्तरुँ धृत्या,[[ससजुषो रुः (8.2.66)]]
युक्तर् धृत्या,[[तस्य लोपः (1.3.9)]]
युक्त उ धृत्या,[[हशि च (6.1.114)]]
युक्तो धृत्या,[[आद्गुणः (6.1.87)]]
धृत्या आत्मानम्,-
धृत्यात्मानम्,[[अकः सवर्णे दीर्घः (6.1.101)]]
धृत्यात्मानम् नियम्य,-
धृत्यात्मानं नियम्य,[[मोऽनुस्वारः (8.3.23)]]
नियम्य च,-
च,-
शब्दादीन् विषयान्,-
विषयान् त्यक्त्वा,-
विषयांरुँ त्यक्त्वा,[[नश्छव्यप्रशान् (8.3.7)]]
विषयांर् त्यक्त्वा,[[तस्य लोपः (1.3.9)]]
विषयांः त्यक्त्वा,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
विषयांस् त्यक्त्वा,[[विसर्जनीयस्य सः (8.3.34)]]
त्यक्त्वा रागद्वेषौ,-
रागद्वेषौ व्युदस्य,-
व्युदस्य च,-
च,-
