स्थिति,सूत्र
सर्वद्वाराणि संयम्य,-
संयम्य मनस्,-
मनस् हृदि,-
मनरुँ हृदि,[[ससजुषो रुः (8.2.66)]]
मनर् हृदि,[[तस्य लोपः (1.3.9)]]
मन उ हृदि,[[हशि च (6.1.114)]]
मनो हृदि,[[आद्गुणः (6.1.87)]]
हृदि निरुध्य,-
निरुध्य च,-
च,-
मूर्ध्नि आधाय,-
मूर्ध्न्याधाय,[[इको यणचि (6.1.77)]]
मूर्ध्न्याधाय आत्मनस्,-
मूर्ध्न्याधायात्मनस्,[[अकः सवर्णे दीर्घः (6.1.101)]]
मूर्ध्न्याधायात्मनस् प्राणम्,-
मूर्ध्न्याधायात्मनरुँ प्राणम्,[[ससजुषो रुः (8.2.66)]]
मूर्ध्न्याधायात्मनर् प्राणम्,[[तस्य लोपः (1.3.9)]]
मूर्ध्न्याधायात्मनः प्राणम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
मूर्ध्न्याधायात्मनः प्राणम्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
प्राणम् आस्थितस्,-
आस्थितस् योगधारणाम्,-
आस्थितरुँ योगधारणाम्,[[ससजुषो रुः (8.2.66)]]
आस्थितर् योगधारणाम्,[[तस्य लोपः (1.3.9)]]
आस्थित उ योगधारणाम्,[[हशि च (6.1.114)]]
आस्थितो योगधारणाम्,[[आद्गुणः (6.1.87)]]
योगधारणाम्,-
