स्थिति,सूत्र
सस् एव,-
सरुँ एव,[[ससजुषो रुः (8.2.66)]]
सर् एव,[[तस्य लोपः (1.3.9)]]
सय् एव,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
स एव,[[लोपः शाकल्यस्य (8.3.19)]]
एव अयम्,-
एवायम्,[[अकः सवर्णे दीर्घः (6.1.101)]]
एवायम् मया,-
एवायं मया,[[मोऽनुस्वारः (8.3.23)]]
मया ते,-
ते अद्य,-
तेऽद्य,[[एङः पदान्तादति (6.1.109)]]
तेऽद्य योगस्,-
योगस् प्रोक्तस्,-
योगरुँ प्रोक्तस्,[[ससजुषो रुः (8.2.66)]]
योगर् प्रोक्तस्,[[तस्य लोपः (1.3.9)]]
योगः प्रोक्तस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
योगः प्रोक्तस्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
प्रोक्तस् पुरातनस्,-
प्रोक्तरुँ पुरातनस्,[[ससजुषो रुः (8.2.66)]]
प्रोक्तर् पुरातनस्,[[तस्य लोपः (1.3.9)]]
प्रोक्तः पुरातनस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
प्रोक्तः पुरातनस्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
पुरातनस्,-
पुरातनरुँ,[[ससजुषो रुः (8.2.66)]]
पुरातनर्,[[तस्य लोपः (1.3.9)]]
पुरातनः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
भक्तस् असि,-
भक्तरुँ असि,[[ससजुषो रुः (8.2.66)]]
भक्तर् असि,[[तस्य लोपः (1.3.9)]]
भक्त उ असि,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
भक्तो असि,[[आद्गुणः (6.1.87)]]
भक्तोऽसि,[[एङः पदान्तादति (6.1.109)]]
भक्तोऽसि मे,-
मे सखा,-
सखा च,-
च इति,-
चेति,[[आद्गुणः (6.1.87)]]
चेति रहस्यम्,-
रहस्यम् हि,-
रहस्यं हि,[[मोऽनुस्वारः (8.3.23)]]
हि एतत्,-
ह्येतत्,[[इको यणचि (6.1.77)]]
ह्येतत् उत्तमम्,-
ह्येतद् उत्तमम्,[[झलां जशोऽन्ते (8.2.39)]]
उत्तमम्,-
