पद समूह,सूत्राणि,संधि-कृत रूप
अन्तकाले च,-,अन्तकाले च
च माम्,-,च माम्
माम् एव,-,माम् एव
एव स्मरन्,-,एव स्मरन्
स्मरन् मुक्त्वा,-,स्मरन् मुक्त्वा
मुक्त्वा कलेवरम्,-,मुक्त्वा कलेवरम्
कलेवरम्,-,कलेवरम्
यस् प्रयाति,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[कुप्वोः ≍क≍पौ च (8.3.37)]],यः प्रयाति
प्रयाति सस्,-,प्रयाति सस्
सस् मत्,- [[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]],स मत्
मत् भावम्,- [[झलां जशोऽन्ते (8.2.39)]],मद् भावम्
भावम् याति,- [[मोऽनुस्वारः (8.3.23)]],भावं याति
याति न,-,याति न
न अस्ति,- [[अकः सवर्णे दीर्घः (6.1.101)]],नास्ति
नास्ति अत्र,- [[इको यणचि (6.1.77)]],नास्त्यत्र
नास्त्यत्र संशयस्,-,नास्त्यत्र संशयस्
संशयस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],संशयः
