पद समूह,सूत्राणि,संधि-कृत रूप
श्रद्धावान् अनसूयस्,-,श्रद्धावान् अनसूयस्
अनसूयस् च,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[विसर्जनीयस्य सः (8.3.34)]] [[स्तोः श्चुना श्चुः (8.4.40)]],अनसूयश् च
च शृणुयात्,-,च शृणुयात्
शृणुयात् अपि,- [[झलां जशोऽन्ते (8.2.39)]],शृणुयाद् अपि
अपि यस्,-,अपि यस्
यस् नरस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],यो नरस्
नरस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],नरः
सस् अपि,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[अतो रोरप्लुतादप्लुते (6.1.113)]] [[आद्गुणः (6.1.87)]] [[एङः पदान्तादति (6.1.109)]],सोऽपि
सोऽपि मुक्तस्,-,सोऽपि मुक्तस्
मुक्तस् शुभान्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],मुक्तः शुभान्
शुभान् लोकान्,- [[तोर्लि (8.4.60)]],शुभाल् लोकान्
लोकान् प्राप्नुयात्,-,लोकान् प्राप्नुयात्
प्राप्नुयात् पुण्यकर्मणाम्,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],प्राप्नुयात् पुण्यकर्मणाम्
पुण्यकर्मणाम्,-,पुण्यकर्मणाम्
