पद समूह,सूत्राणि,संधि-कृत रूप
सद्भावे साधुभावे,-,सद्भावे साधुभावे
साधुभावे च,-,साधुभावे च
च सत्,-,च सत्
सत् इति,- [[झलां जशोऽन्ते (8.2.39)]],सद् इति
इति एतत्,- [[इको यणचि (6.1.77)]],इत्येतत्
इत्येतत् प्रयुज्यते,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],इत्येतत् प्रयुज्यते
प्रयुज्यते,-,प्रयुज्यते
प्रशस्ते कर्मणि,-,प्रशस्ते कर्मणि
कर्मणि तथा,-,कर्मणि तथा
तथा सत्,-,तथा सत्
सत् शब्दस्,- [[झलां जशोऽन्ते (8.2.39)]] [[स्तोः श्चुना श्चुः (8.4.40)]] [[खरि च (8.4.55)]] [[शशछोऽटि (8.4.63)]],सच्छब्दस्
सच्छब्दस् पार्थ,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[कुप्वोः ≍क≍पौ च (8.3.37)]],सच्छब्दः पार्थ
पार्थ युज्यते,-,पार्थ युज्यते
युज्यते,-,युज्यते
