पद समूह,सूत्राणि,संधि-कृत रूप
तम् एव,-,तम् एव
एव शरणम्,-,एव शरणम्
शरणम् गच्छ,- [[मोऽनुस्वारः (8.3.23)]],शरणं गच्छ
गच्छ सर्वभावेन,-,गच्छ सर्वभावेन
सर्वभावेन भारत,-,सर्वभावेन भारत
भारत,-,भारत
तत् प्रसादात्,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],तत् प्रसादात्
प्रसादात् पराम्,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],प्रसादात् पराम्
पराम् शान्तिम्,- [[मोऽनुस्वारः (8.3.23)]],परां शान्तिम्
शान्तिम् स्थानम्,- [[मोऽनुस्वारः (8.3.23)]],शान्तिं स्थानम्
स्थानम् प्राप्स्यसि,- [[मोऽनुस्वारः (8.3.23)]],स्थानं प्राप्स्यसि
प्राप्स्यसि शाश्वतम्,-,प्राप्स्यसि शाश्वतम्
शाश्वतम्,-,शाश्वतम्
