पद समूह,सूत्राणि,संधि-कृत रूप
तत्र एवम्,- [[वृद्धिरेचि (6.1.88)]],तत्रैवम्
तत्रैवम् सति,- [[मोऽनुस्वारः (8.3.23)]],तत्रैवं सति
सति कर्तारम्,-,सति कर्तारम्
कर्तारम् आत्मानम्,-,कर्तारम् आत्मानम्
आत्मानम् केवलम्,- [[मोऽनुस्वारः (8.3.23)]],आत्मानं केवलम्
केवलम् तु,- [[मोऽनुस्वारः (8.3.23)]],केवलं तु
तु यस्,-,तु यस्
यस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],यः
पश्यति अकृतबुद्धित्वात्,- [[इको यणचि (6.1.77)]],पश्यत्यकृतबुद्धित्वात्
पश्यत्यकृतबुद्धित्वात् न,- [[झलां जशोऽन्ते (8.2.39)]] [[यरोऽनुनासिकेऽनुनासिको वा (8.4.45)]],पश्यत्यकृतबुद्धित्वान् न
न सस्,-,न सस्
सस् पश्यति,- [[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]],स पश्यति
पश्यति दुर्मतिस्,-,पश्यति दुर्मतिस्
दुर्मतिस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],दुर्मतिः
