पद समूह,सूत्राणि,संधि-कृत रूप
ब्रह्मभूतस् प्रसन्नात्मा,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[कुप्वोः ≍क≍पौ च (8.3.37)]],ब्रह्मभूतः प्रसन्नात्मा
प्रसन्नात्मा न,-,प्रसन्नात्मा न
न शोचति,-,न शोचति
शोचति न,-,शोचति न
न काङ्क्षति,-,न काङ्क्षति
काङ्क्षति,-,काङ्क्षति
समस् सर्वेषु,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],समः सर्वेषु
सर्वेषु भूतेषु,-,सर्वेषु भूतेषु
भूतेषु मद्भक्तिम्,-,भूतेषु मद्भक्तिम्
मद्भक्तिम् लभते,- [[मोऽनुस्वारः (8.3.23)]],मद्भक्तिं लभते
लभते पराम्,-,लभते पराम्
पराम्,-,पराम्
