पद समूह,सूत्राणि,संधि-कृत रूप
यम् यम्,- [[मोऽनुस्वारः (8.3.23)]],यं यम्
यम् वा,- [[मोऽनुस्वारः (8.3.23)]],यं वा
वा अपि,- [[अकः सवर्णे दीर्घः (6.1.101)]],वापि
वापि स्मरन्,-,वापि स्मरन्
स्मरन् भावम्,-,स्मरन् भावम्
भावम् त्यजति,- [[मोऽनुस्वारः (8.3.23)]],भावं त्यजति
त्यजति अन्ते,- [[इको यणचि (6.1.77)]],त्यजत्यन्ते
त्यजत्यन्ते कलेवरम्,-,त्यजत्यन्ते कलेवरम्
कलेवरम्,-,कलेवरम्
तम् तम्,- [[मोऽनुस्वारः (8.3.23)]],तं तम्
तम् एव,-,तम् एव
एव एति,- [[वृद्धिरेचि (6.1.88)]],एवैति
एवैति कौन्तेय,-,एवैति कौन्तेय
कौन्तेय सदा,-,कौन्तेय सदा
सदा तत्,-,सदा तत्
तत् भावभावितस्,- [[झलां जशोऽन्ते (8.2.39)]],तद् भावभावितस्
भावभावितस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],भावभावितः
