पद समूह,सूत्राणि,संधि-कृत रूप
काम्यानाम् कर्मणाम्,- [[मोऽनुस्वारः (8.3.23)]],काम्यानां कर्मणाम्
कर्मणाम् न्यासम्,- [[मोऽनुस्वारः (8.3.23)]],कर्मणां न्यासम्
न्यासम् संन्यासम्,- [[मोऽनुस्वारः (8.3.23)]],न्यासं संन्यासम्
संन्यासम् कवयस्,- [[मोऽनुस्वारः (8.3.23)]],संन्यासं कवयस्
कवयस् विदुस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],कवयो विदुस्
विदुस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],विदुः
सर्वकर्मफलत्यागम् प्राहुस्,- [[मोऽनुस्वारः (8.3.23)]],सर्वकर्मफलत्यागं प्राहुस्
प्राहुस् त्यागम्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[विसर्जनीयस्य सः (8.3.34)]],प्राहुस् त्यागम्
त्यागम् विचक्षणास्,- [[मोऽनुस्वारः (8.3.23)]],त्यागं विचक्षणास्
विचक्षणास्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],विचक्षणाः
