पद समूह,सूत्राणि,संधि-कृत रूप
सखा इति,- [[आद्गुणः (6.1.87)]],सखेति
सखेति मत्वा,-,सखेति मत्वा
मत्वा प्रसभम्,-,मत्वा प्रसभम्
प्रसभम् यत्,- [[मोऽनुस्वारः (8.3.23)]],प्रसभं यत्
यत् उक्तम्,- [[झलां जशोऽन्ते (8.2.39)]],यद् उक्तम्
उक्तम् हे,- [[मोऽनुस्वारः (8.3.23)]],उक्तं हे
हे कृष्ण,-,हे कृष्ण
कृष्ण हे,-,कृष्ण हे
हे यादव,-,हे यादव
यादव हे,-,यादव हे
हे सखा,-,हे सखा
सखा इति,- [[आद्गुणः (6.1.87)]],सखेति
सखेति,-,सखेति
अजानता महिमानम्,-,अजानता महिमानम्
महिमानम् तव,- [[मोऽनुस्वारः (8.3.23)]],महिमानं तव
तव इदम्,- [[आद्गुणः (6.1.87)]],तवेदम्
तवेदम् मया,- [[मोऽनुस्वारः (8.3.23)]],तवेदं मया
मया प्रमादात्,-,मया प्रमादात्
प्रमादात् प्रणयेन,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],प्रमादात् प्रणयेन
प्रणयेन वा,-,प्रणयेन वा
वा अपि,- [[अकः सवर्णे दीर्घः (6.1.101)]],वापि
वापि,-,वापि
