पद समूह,सूत्राणि,संधि-कृत रूप
अहम् आत्मा,-,अहम् आत्मा
आत्मा गुडाकेश,-,आत्मा गुडाकेश
गुडाकेश सर्वभूताशयस्थितस्,-,गुडाकेश सर्वभूताशयस्थितस्
सर्वभूताशयस्थितस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],सर्वभूताशयस्थितः
अहम् आदिस्,-,अहम् आदिस्
आदिस् च,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[विसर्जनीयस्य सः (8.3.34)]] [[स्तोः श्चुना श्चुः (8.4.40)]],आदिश् च
च मध्यम्,-,च मध्यम्
मध्यम् च,- [[मोऽनुस्वारः (8.3.23)]],मध्यं च
च भूतानाम्,-,च भूतानाम्
भूतानाम् अन्तस्,-,भूतानाम् अन्तस्
अन्तस् एव,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]] [[लोपः शाकल्यस्य (8.3.19)]],अन्त एव
एव च,-,एव च
च,-,च
