पद समूह,सूत्राणि,संधि-कृत रूप
प्रवृत्तिम् च,- [[मोऽनुस्वारः (8.3.23)]],प्रवृत्तिं च
च निवृत्तिम्,-,च निवृत्तिम्
निवृत्तिम् च,- [[मोऽनुस्वारः (8.3.23)]],निवृत्तिं च
च कार्याकार्ये,-,च कार्याकार्ये
कार्याकार्ये भयाभये,-,कार्याकार्ये भयाभये
भयाभये,-,भयाभये
बन्धम् मोक्षम्,- [[मोऽनुस्वारः (8.3.23)]],बन्धं मोक्षम्
मोक्षम् च,- [[मोऽनुस्वारः (8.3.23)]],मोक्षं च
च या,-,च या
या वेत्ति,-,या वेत्ति
वेत्ति बुद्धिस्,-,वेत्ति बुद्धिस्
बुद्धिस् सा,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],बुद्धिः सा
सा पार्थ,-,सा पार्थ
पार्थ सात्त्विकी,-,पार्थ सात्त्विकी
सात्त्विकी,-,सात्त्विकी
