पद समूह,सूत्राणि,संधि-कृत रूप
सर्वगुह्यतमम् भूयस्,- [[मोऽनुस्वारः (8.3.23)]],सर्वगुह्यतमं भूयस्
भूयस् शृणु,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],भूयः शृणु
शृणु मे,-,शृणु मे
मे परमम्,-,मे परमम्
परमम् वचस्,- [[मोऽनुस्वारः (8.3.23)]],परमं वचस्
वचस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],वचः
इष्टस् असि,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[अतो रोरप्लुतादप्लुते (6.1.113)]] [[आद्गुणः (6.1.87)]] [[एङः पदान्तादति (6.1.109)]],इष्टोऽसि
इष्टोऽसि मे,-,इष्टोऽसि मे
मे दृढम्,-,मे दृढम्
दृढम् इति,-,दृढम् इति
इति ततस्,-,इति ततस्
ततस् वक्ष्यामि,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],ततो वक्ष्यामि
वक्ष्यामि ते,-,वक्ष्यामि ते
ते हितम्,-,ते हितम्
हितम्,-,हितम्
