पद समूह,सूत्राणि,संधि-कृत रूप
राजन् संस्मृत्य,-,राजन् संस्मृत्य
संस्मृत्य संस्मृत्य,-,संस्मृत्य संस्मृत्य
संस्मृत्य संवादम्,-,संस्मृत्य संवादम्
संवादम् इमम्,-,संवादम् इमम्
इमम् अद्भुतम्,-,इमम् अद्भुतम्
अद्भुतम्,-,अद्भुतम्
केशवार्जुनयोस् पुण्यम्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[कुप्वोः ≍क≍पौ च (8.3.37)]],केशवार्जुनयोः पुण्यम्
पुण्यम् हृष्यामि,- [[मोऽनुस्वारः (8.3.23)]],पुण्यं हृष्यामि
हृष्यामि च,-,हृष्यामि च
च मुहुस्,-,च मुहुस्
मुहुस् मुहुस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]],मुहुर् मुहुस्
मुहुस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],मुहुः
