पद समूह,सूत्राणि,संधि-कृत रूप
यत् तु,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],यत् तु
तु प्रत्युपकारार्थम्,-,तु प्रत्युपकारार्थम्
प्रत्युपकारार्थम् फलम्,- [[मोऽनुस्वारः (8.3.23)]],प्रत्युपकारार्थं फलम्
फलम् उद्दिश्य,-,फलम् उद्दिश्य
उद्दिश्य वा,-,उद्दिश्य वा
वा पुनर्,-,वा पुनर्
पुनर्,- [[खरवसानयोर्विसर्जनीयः (8.3.15)]],पुनः
दीयते च,-,दीयते च
च परिक्लिष्टम्,-,च परिक्लिष्टम्
परिक्लिष्टम् तत्,- [[मोऽनुस्वारः (8.3.23)]],परिक्लिष्टं तत्
तत् दानम्,- [[झलां जशोऽन्ते (8.2.39)]],तद् दानम्
दानम् राजसम्,- [[मोऽनुस्वारः (8.3.23)]],दानं राजसम्
राजसम् स्मृतम्,- [[मोऽनुस्वारः (8.3.23)]],राजसं स्मृतम्
स्मृतम्,-,स्मृतम्
