पद समूह,सूत्राणि,संधि-कृत रूप
अनिष्टम् इष्टम्,-,अनिष्टम् इष्टम्
इष्टम् मिश्रम्,- [[मोऽनुस्वारः (8.3.23)]],इष्टं मिश्रम्
मिश्रम् च,- [[मोऽनुस्वारः (8.3.23)]],मिश्रं च
च त्रिविधम्,-,च त्रिविधम्
त्रिविधम् कर्मणस्,- [[मोऽनुस्वारः (8.3.23)]],त्रिविधं कर्मणस्
कर्मणस् फलम्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[कुप्वोः ≍क≍पौ च (8.3.37)]],कर्मणः फलम्
फलम्,-,फलम्
भवति अत्यागिनाम्,- [[इको यणचि (6.1.77)]],भवत्यत्यागिनाम्
भवत्यत्यागिनाम् प्रेत्य,- [[मोऽनुस्वारः (8.3.23)]],भवत्यत्यागिनां प्रेत्य
प्रेत्य न,-,प्रेत्य न
न तु,-,न तु
तु संन्यासिनाम्,-,तु संन्यासिनाम्
संन्यासिनाम् क्वचित्,- [[मोऽनुस्वारः (8.3.23)]],संन्यासिनां क्वचित्
क्वचित्,- [[झलां जशोऽन्ते (8.2.39)]] [[वाऽवसाने (8.4.56)]],क्वचित्
