पद समूह,सूत्राणि,संधि-कृत रूप
इति अहम्,- [[इको यणचि (6.1.77)]],इत्यहम्
इत्यहम् वासुदेवस्य,- [[मोऽनुस्वारः (8.3.23)]],इत्यहं वासुदेवस्य
वासुदेवस्य पार्थस्य,-,वासुदेवस्य पार्थस्य
पार्थस्य च,-,पार्थस्य च
च महात्मनस्,-,च महात्मनस्
महात्मनस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],महात्मनः
संवादम् इमम्,-,संवादम् इमम्
इमम् अश्रौषम्,-,इमम् अश्रौषम्
अश्रौषम् अद्भुतम्,-,अश्रौषम् अद्भुतम्
अद्भुतम् रोमहर्षणम्,- [[मोऽनुस्वारः (8.3.23)]],अद्भुतं रोमहर्षणम्
रोमहर्षणम्,-,रोमहर्षणम्
