पद समूह,सूत्राणि,संधि-कृत रूप
वासांसि जीर्णानि,-,वासांसि जीर्णानि
जीर्णानि यथा,-,जीर्णानि यथा
यथा विहाय,-,यथा विहाय
विहाय नवानि,-,विहाय नवानि
नवानि गृह्णाति,-,नवानि गृह्णाति
गृह्णाति नरस्,-,गृह्णाति नरस्
नरस् अपराणि,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[अतो रोरप्लुतादप्लुते (6.1.113)]] [[आद्गुणः (6.1.87)]] [[एङः पदान्तादति (6.1.109)]],नरोऽपराणि
नरोऽपराणि,-,नरोऽपराणि
तथा शरीराणि,-,तथा शरीराणि
शरीराणि विहाय,-,शरीराणि विहाय
विहाय जीर्णानि,-,विहाय जीर्णानि
जीर्णानि अन्यानि,- [[इको यणचि (6.1.77)]],जीर्णान्यन्यानि
जीर्णान्यन्यानि संयाति,-,जीर्णान्यन्यानि संयाति
संयाति नवानि,-,संयाति नवानि
नवानि देही,-,नवानि देही
देही,-,देही
