पद समूह,सूत्राणि,संधि-कृत रूप
तान् अहम्,-,तान् अहम्
अहम् द्विषतस्,- [[मोऽनुस्वारः (8.3.23)]],अहं द्विषतस्
द्विषतस् क्रूरान्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[कुप्वोः ≍क≍पौ च (8.3.37)]],द्विषतः क्रूरान्
क्रूरान् संसारेषु,-,क्रूरान् संसारेषु
संसारेषु नराधमान्,-,संसारेषु नराधमान्
नराधमान्,-,नराधमान्
क्षिपामि अजस्रम्,- [[इको यणचि (6.1.77)]],क्षिपाम्यजस्रम्
क्षिपाम्यजस्रम् अशुभान्,-,क्षिपाम्यजस्रम् अशुभान्
अशुभान् आसुरीषु,-,अशुभान् आसुरीषु
आसुरीषु एव,- [[इको यणचि (6.1.77)]],आसुरीष्वेव
आसुरीष्वेव योनिषु,-,आसुरीष्वेव योनिषु
योनिषु,-,योनिषु
