पद समूह,सूत्राणि,संधि-कृत रूप
अश्रद्धया हुतम्,-,अश्रद्धया हुतम्
हुतम् दत्तम्,- [[मोऽनुस्वारः (8.3.23)]],हुतं दत्तम्
दत्तम् तपस्,- [[मोऽनुस्वारः (8.3.23)]],दत्तं तपस्
तपस् तप्तम्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[विसर्जनीयस्य सः (8.3.34)]],तपस् तप्तम्
तप्तम् कृतम्,- [[मोऽनुस्वारः (8.3.23)]],तप्तं कृतम्
कृतम् च,- [[मोऽनुस्वारः (8.3.23)]],कृतं च
च यत्,-,च यत्
यत्,- [[झलां जशोऽन्ते (8.2.39)]] [[वाऽवसाने (8.4.56)]],यत्
असत् इति,- [[झलां जशोऽन्ते (8.2.39)]],असद् इति
इति उच्यते,- [[इको यणचि (6.1.77)]],इत्युच्यते
इत्युच्यते पार्थ,-,इत्युच्यते पार्थ
पार्थ न,-,पार्थ न
न च,-,न च
च तत्,-,च तत्
तत् प्रेत्य,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],तत् प्रेत्य
प्रेत्य न,-,प्रेत्य न
न उ,- [[आद्गुणः (6.1.87)]],नो
नो इह,- [[एचोऽयवायावः (6.1.78)]] [[लोपः शाकल्यस्य (8.3.19)]],न इह
इह,-,इह
