पद समूह,सूत्राणि,संधि-कृत रूप
चेतसा सर्वकर्माणि,-,चेतसा सर्वकर्माणि
सर्वकर्माणि मयि,-,सर्वकर्माणि मयि
मयि संन्यस्य,-,मयि संन्यस्य
संन्यस्य मत्परस्,-,संन्यस्य मत्परस्
मत्परस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],मत्परः
बुद्धियोगम् उपाश्रित्य,-,बुद्धियोगम् उपाश्रित्य
उपाश्रित्य मच्चित्तस्,-,उपाश्रित्य मच्चित्तस्
मच्चित्तस् सततम्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],मच्चित्तः सततम्
सततम् भव,- [[मोऽनुस्वारः (8.3.23)]],सततं भव
भव,-,भव
