पद समूह,सूत्राणि,संधि-कृत रूप
स्वभावजेन कौन्तेय,-,स्वभावजेन कौन्तेय
कौन्तेय निबद्धस्,-,कौन्तेय निबद्धस्
निबद्धस् स्वेन,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],निबद्धः स्वेन
स्वेन कर्मणा,-,स्वेन कर्मणा
कर्मणा,-,कर्मणा
कर्तुम् न,- [[मोऽनुस्वारः (8.3.23)]],कर्तुं न
न इच्छसि,- [[आद्गुणः (6.1.87)]],नेच्छसि
नेच्छसि यत्,-,नेच्छसि यत्
यत् मोहात्,- [[झलां जशोऽन्ते (8.2.39)]] [[यरोऽनुनासिकेऽनुनासिको वा (8.4.45)]],यन् मोहात्
मोहात् करिष्यसि,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],मोहात् करिष्यसि
करिष्यसि अवशस्,- [[इको यणचि (6.1.77)]],करिष्यस्यवशस्
करिष्यस्यवशस् अपि,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[अतो रोरप्लुतादप्लुते (6.1.113)]] [[आद्गुणः (6.1.87)]] [[एङः पदान्तादति (6.1.109)]],करिष्यस्यवशोऽपि
करिष्यस्यवशोऽपि तत्,-,करिष्यस्यवशोऽपि तत्
तत्,- [[झलां जशोऽन्ते (8.2.39)]] [[वाऽवसाने (8.4.56)]],तत्
