पद समूह,सूत्राणि,संधि-कृत रूप
इमम् विवस्वते,- [[मोऽनुस्वारः (8.3.23)]],इमं विवस्वते
विवस्वते योगम्,-,विवस्वते योगम्
योगम् प्रोक्तवान्,- [[मोऽनुस्वारः (8.3.23)]],योगं प्रोक्तवान्
प्रोक्तवान् अहम्,-,प्रोक्तवान् अहम्
अहम् अव्ययम्,-,अहम् अव्ययम्
अव्ययम्,-,अव्ययम्
विवस्वान् मनवे,-,विवस्वान् मनवे
मनवे प्राह,-,मनवे प्राह
प्राह मनुस्,-,प्राह मनुस्
मनुस् इक्ष्वाकवे,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]],मनुर् इक्ष्वाकवे
इक्ष्वाकवे अब्रवीत्,- [[एङः पदान्तादति (6.1.109)]],इक्ष्वाकवेऽब्रवीत्
इक्ष्वाकवेऽब्रवीत्,- [[झलां जशोऽन्ते (8.2.39)]] [[वाऽवसाने (8.4.56)]],इक्ष्वाकवेऽब्रवीत्
