पद समूह,सूत्राणि,संधि-कृत रूप
श्रद्धया परया,-,श्रद्धया परया
परया तप्तम्,-,परया तप्तम्
तप्तम् तपस्,- [[मोऽनुस्वारः (8.3.23)]],तप्तं तपस्
तपस् तत्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[विसर्जनीयस्य सः (8.3.34)]],तपस् तत्
तत् त्रिविधम्,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],तत् त्रिविधम्
त्रिविधम् नरैस्,- [[मोऽनुस्वारः (8.3.23)]],त्रिविधं नरैस्
नरैस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],नरैः
अफलाकाङ्क्षिभिस् युक्तैस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]],अफलाकाङ्क्षिभिर् युक्तैस्
युक्तैस् सात्त्विकम्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],युक्तैः सात्त्विकम्
सात्त्विकम् परिचक्षते,- [[मोऽनुस्वारः (8.3.23)]],सात्त्विकं परिचक्षते
परिचक्षते,-,परिचक्षते
