पद समूह,सूत्राणि,संधि-कृत रूप
यत् तु,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],यत् तु
तु कृत्स्नवत्,-,तु कृत्स्नवत्
कृत्स्नवत् एकस्मिन्,- [[झलां जशोऽन्ते (8.2.39)]],कृत्स्नवद् एकस्मिन्
एकस्मिन् कार्ये,-,एकस्मिन् कार्ये
कार्ये सक्तम्,-,कार्ये सक्तम्
सक्तम् अहैतुकम्,-,सक्तम् अहैतुकम्
अहैतुकम्,-,अहैतुकम्
अतत्त्वार्थवत् अल्पम्,- [[झलां जशोऽन्ते (8.2.39)]],अतत्त्वार्थवद् अल्पम्
अल्पम् च,- [[मोऽनुस्वारः (8.3.23)]],अल्पं च
च तत्,-,च तत्
तत् तामसम्,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],तत् तामसम्
तामसम् उदाहृतम्,-,तामसम् उदाहृतम्
उदाहृतम्,-,उदाहृतम्
