पद समूह,सूत्राणि,संधि-कृत रूप
यया धर्मम्,-,यया धर्मम्
धर्मम् अधर्मम्,-,धर्मम् अधर्मम्
अधर्मम् च,- [[मोऽनुस्वारः (8.3.23)]],अधर्मं च
च कार्यम्,-,च कार्यम्
कार्यम् च,- [[मोऽनुस्वारः (8.3.23)]],कार्यं च
च अकार्यम्,- [[अकः सवर्णे दीर्घः (6.1.101)]],चाकार्यम्
चाकार्यम् एव,-,चाकार्यम् एव
एव च,-,एव च
च,-,च
अयथावत् प्रजानाति,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],अयथावत् प्रजानाति
प्रजानाति बुद्धिस्,-,प्रजानाति बुद्धिस्
बुद्धिस् सा,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],बुद्धिः सा
सा पार्थ,-,सा पार्थ
पार्थ राजसी,-,पार्थ राजसी
राजसी,-,राजसी
