पद समूह,सूत्राणि,संधि-कृत रूप
यदि माम्,-,यदि माम्
माम् अप्रतीकारम्,-,माम् अप्रतीकारम्
अप्रतीकारम् अशस्त्रम्,-,अप्रतीकारम् अशस्त्रम्
अशस्त्रम् शस्त्रपाणयस्,- [[मोऽनुस्वारः (8.3.23)]],अशस्त्रं शस्त्रपाणयस्
शस्त्रपाणयस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],शस्त्रपाणयः
धार्तराष्ट्रास् रणे,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]] [[हलि सर्वेषाम् (8.3.22)]],धार्तराष्ट्रा रणे
रणे हन्युस्,-,रणे हन्युस्
हन्युस् तत्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[विसर्जनीयस्य सः (8.3.34)]],हन्युस् तत्
तत् मे,- [[झलां_जशोऽन्ते (8.2.39)]] [[यरोऽनुनासिकेऽनुनासिको_वा (8.4.45)]],तन् मे
मे क्षेमतरम्,-,मे क्षेमतरम्
क्षेमतरम् भवेत्,- [[मोऽनुस्वारः (8.3.23)]],क्षेमतरं भवेत्
भवेत्,- [[झलां_जशोऽन्ते (8.2.39)]] [[वाऽवसाने (8.4.56)]],भवेत्
