पद समूह,सूत्राणि,संधि-कृत रूप
ज्ञानम् ज्ञेयम्,- [[मोऽनुस्वारः (8.3.23)]],ज्ञानं ज्ञेयम्
ज्ञेयम् परिज्ञाता,- [[मोऽनुस्वारः (8.3.23)]],ज्ञेयं परिज्ञाता
परिज्ञाता त्रिविधा,-,परिज्ञाता त्रिविधा
त्रिविधा कर्मचोदना,-,त्रिविधा कर्मचोदना
कर्मचोदना,-,कर्मचोदना
करणम् कर्म,- [[मोऽनुस्वारः (8.3.23)]],करणं कर्म
कर्म कर्ता,-,कर्म कर्ता
कर्ता इति,- [[आद्गुणः (6.1.87)]],कर्तेति
कर्तेति त्रिविधस्,-,कर्तेति त्रिविधस्
त्रिविधस् कर्मसङ्ग्रहस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[कुप्वोः ≍क≍पौ च (8.3.37)]],त्रिविधः कर्मसङ्ग्रहस्
कर्मसङ्ग्रहस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],कर्मसङ्ग्रहः
