पद समूह,सूत्राणि,संधि-कृत रूप
अहम् सर्वस्य,- [[मोऽनुस्वारः (8.3.23)]],अहं सर्वस्य
सर्वस्य प्रभवस्,-,सर्वस्य प्रभवस्
प्रभवस् मत्तस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],प्रभवो मत्तस्
मत्तस् सर्वम्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],मत्तः सर्वम्
सर्वम् प्रवर्तते,- [[मोऽनुस्वारः (8.3.23)]],सर्वं प्रवर्तते
प्रवर्तते,-,प्रवर्तते
इति मत्वा,-,इति मत्वा
मत्वा भजन्ते,-,मत्वा भजन्ते
भजन्ते माम्,-,भजन्ते माम्
माम् बुधास्,- [[मोऽनुस्वारः (8.3.23)]],मां बुधास्
बुधास् भावसमन्वितास्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]] [[हलि सर्वेषाम् (8.3.22)]],बुधा भावसमन्वितास्
भावसमन्वितास्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],भावसमन्विताः
