पद समूह,सूत्राणि,संधि-कृत रूप
दैवम् एव,-,दैवम् एव
एव अपरे,- [[अकः सवर्णे दीर्घः (6.1.101)]],एवापरे
एवापरे यज्ञम्,-,एवापरे यज्ञम्
यज्ञम् योगिनस्,- [[मोऽनुस्वारः (8.3.23)]],यज्ञं योगिनस्
योगिनस् पर्युपासते,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[कुप्वोः ≍क≍पौ च (8.3.37)]],योगिनः पर्युपासते
पर्युपासते,-,पर्युपासते
ब्रह्माग्नौ अपरे,- [[एचोऽयवायावः (6.1.78)]],ब्रह्माग्नावपरे
अपरे यज्ञम्,-,अपरे यज्ञम्
यज्ञम् यज्ञेन,- [[मोऽनुस्वारः (8.3.23)]],यज्ञं यज्ञेन
यज्ञेन एव,- [[वृद्धिरेचि (6.1.88)]],यज्ञेनैव
यज्ञेनैव उपजुह्वति,- [[आद्गुणः (6.1.87)]],यज्ञेनैवोपजुह्वति
यज्ञेनैवोपजुह्वति,-,यज्ञेनैवोपजुह्वति
