पद समूह,सूत्राणि,संधि-कृत रूप
अध्येष्यते च,-,अध्येष्यते च
च यस्,-,च यस्
यस् इमम्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]] [[लोपः शाकल्यस्य (8.3.19)]],य इमम्
इमम् धर्म्यम्,- [[मोऽनुस्वारः (8.3.23)]],इमं धर्म्यम्
धर्म्यम् संवादम्,- [[मोऽनुस्वारः (8.3.23)]],धर्म्यं संवादम्
संवादम् आवयोस्,-,संवादम् आवयोस्
आवयोस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],आवयोः
ज्ञानयज्ञेन तेन,-,ज्ञानयज्ञेन तेन
तेन अहम्,- [[अकः सवर्णे दीर्घः (6.1.101)]],तेनाहम्
तेनाहम् इष्टस्,-,तेनाहम् इष्टस्
इष्टस् स्याम्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],इष्टः स्याम्
स्याम् इति,-,स्याम् इति
इति मे,-,इति मे
मे मतिस्,-,मे मतिस्
मतिस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],मतिः
