पद समूह,सूत्राणि,संधि-कृत रूप
ज्ञानम् कर्म,- [[मोऽनुस्वारः (8.3.23)]],ज्ञानं कर्म
कर्म च,-,कर्म च
च कर्ता,-,च कर्ता
कर्ता च,-,कर्ता च
च त्रिधा,-,च त्रिधा
त्रिधा एव,- [[वृद्धिरेचि (6.1.88)]],त्रिधैव
त्रिधैव गुणभेदतस्,-,त्रिधैव गुणभेदतस्
गुणभेदतस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],गुणभेदतः
प्रोच्यते गुणसङ्ख्याने,-,प्रोच्यते गुणसङ्ख्याने
गुणसङ्ख्याने यथावत्,-,गुणसङ्ख्याने यथावत्
यथावत् शृणु,- [[झलां जशोऽन्ते (8.2.39)]] [[स्तोः श्चुना श्चुः (8.4.40)]] [[खरि च (8.4.55)]] [[शशछोऽटि (8.4.63)]],यथावच्छृणु
यथावच्छृणु तानि,-,यथावच्छृणु तानि
तानि अपि,- [[इको यणचि (6.1.77)]],तान्यपि
तान्यपि,-,तान्यपि
