पद समूह,सूत्राणि,संधि-कृत रूप
इदम् ते,- [[मोऽनुस्वारः (8.3.23)]],इदं ते
ते न,-,ते न
न अतपस्काय,- [[अकः सवर्णे दीर्घः (6.1.101)]],नातपस्काय
नातपस्काय न,-,नातपस्काय न
न अभक्ताय,- [[अकः सवर्णे दीर्घः (6.1.101)]],नाभक्ताय
नाभक्ताय कदाचन,-,नाभक्ताय कदाचन
कदाचन,-,कदाचन
न च,-,न च
च अशुश्रूषवे,- [[अकः सवर्णे दीर्घः (6.1.101)]],चाशुश्रूषवे
चाशुश्रूषवे वाच्यम्,-,चाशुश्रूषवे वाच्यम्
वाच्यम् न,- [[मोऽनुस्वारः (8.3.23)]],वाच्यं न
न च,-,न च
च माम्,-,च माम्
माम् यस्,- [[मोऽनुस्वारः (8.3.23)]],मां यस्
यस् अभ्यसूयति,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[अतो रोरप्लुतादप्लुते (6.1.113)]] [[आद्गुणः (6.1.87)]] [[एङः पदान्तादति (6.1.109)]],योऽभ्यसूयति
योऽभ्यसूयति,-,योऽभ्यसूयति
