पद समूह,सूत्राणि,संधि-कृत रूप
भक्त्या माम्,-,भक्त्या माम्
माम् अभिजानाति,-,माम् अभिजानाति
अभिजानाति यावान्,-,अभिजानाति यावान्
यावान् यस्,-,यावान् यस्
यस् च,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[विसर्जनीयस्य सः (8.3.34)]] [[स्तोः श्चुना श्चुः (8.4.40)]],यश् च
च अस्मि,- [[अकः सवर्णे दीर्घः (6.1.101)]],चास्मि
चास्मि तत्त्वतस्,-,चास्मि तत्त्वतस्
तत्त्वतस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],तत्त्वतः
ततस् माम्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],ततो माम्
माम् तत्त्वतस्,- [[मोऽनुस्वारः (8.3.23)]],मां तत्त्वतस्
तत्त्वतस् ज्ञात्वा,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],तत्त्वतो ज्ञात्वा
ज्ञात्वा विशते,-,ज्ञात्वा विशते
विशते तत्,-,विशते तत्
तत् अनन्तरम्,- [[झलां जशोऽन्ते (8.2.39)]],तद् अनन्तरम्
अनन्तरम्,-,अनन्तरम्
