पद समूह,सूत्राणि,संधि-कृत रूप
यावत् एतान्,- [[झलां जशोऽन्ते (8.2.39)]],यावद् एतान्
एतान् निरीक्षे,-,एतान् निरीक्षे
निरीक्षे अहम्,- [[एङः पदान्तादति (6.1.109)]],निरीक्षेऽहम्
निरीक्षेऽहम् योद्धुकामान्,- [[मोऽनुस्वारः (8.3.23)]],निरीक्षेऽहं योद्धुकामान्
योद्धुकामान् अवस्थितान्,-,योद्धुकामान् अवस्थितान्
अवस्थितान्,-,अवस्थितान्
कैस् मया,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]],कैर् मया
मया सह,-,मया सह
सह योद्धव्यम्,-,सह योद्धव्यम्
योद्धव्यम् अस्मिन्,-,योद्धव्यम् अस्मिन्
अस्मिन् रणसमुद्यमे,-,अस्मिन् रणसमुद्यमे
रणसमुद्यमे,-,रणसमुद्यमे
