पद समूह,सूत्राणि,संधि-कृत रूप
अधिष्ठानम् तथा,- [[मोऽनुस्वारः (8.3.23)]],अधिष्ठानं तथा
तथा कर्ता,-,तथा कर्ता
कर्ता करणम्,-,कर्ता करणम्
करणम् च,- [[मोऽनुस्वारः (8.3.23)]],करणं च
च पृथग्विधम्,-,च पृथग्विधम्
पृथग्विधम्,-,पृथग्विधम्
विविधास् च,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[विसर्जनीयस्य सः (8.3.34)]] [[स्तोः श्चुना श्चुः (8.4.40)]],विविधाश् च
च पृथक्,-,च पृथक्
पृथक् चेष्टास्,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],पृथक् चेष्टास्
चेष्टास् दैवम्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]] [[हलि सर्वेषाम् (8.3.22)]],चेष्टा दैवम्
दैवम् च,- [[मोऽनुस्वारः (8.3.23)]],दैवं च
च एव,- [[वृद्धिरेचि (6.1.88)]],चैव
चैव अत्र,- [[अकः सवर्णे दीर्घः (6.1.101)]],चैवात्र
चैवात्र पञ्चमम्,-,चैवात्र पञ्चमम्
पञ्चमम्,-,पञ्चमम्
