पद समूह,सूत्राणि,संधि-कृत रूप
ये शास्त्रविधिम्,-,ये शास्त्रविधिम्
शास्त्रविधिम् उत्सृज्य,-,शास्त्रविधिम् उत्सृज्य
उत्सृज्य यजन्ते,-,उत्सृज्य यजन्ते
यजन्ते श्रद्धया,-,यजन्ते श्रद्धया
श्रद्धया अन्वितास्,- [[अकः सवर्णे दीर्घः (6.1.101)]],श्रद्धयान्वितास्
श्रद्धयान्वितास्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],श्रद्धयान्विताः
तेषाम् निष्ठा,- [[मोऽनुस्वारः (8.3.23)]],तेषां निष्ठा
निष्ठा तु,-,निष्ठा तु
तु का,-,तु का
का कृष्ण,-,का कृष्ण
कृष्ण सत्त्वम्,-,कृष्ण सत्त्वम्
सत्त्वम् आहो,-,सत्त्वम् आहो
आहो रजस्,-,आहो रजस्
रजस् तमस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[विसर्जनीयस्य सः (8.3.34)]],रजस् तमस्
तमस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],तमः
