पद समूह,सूत्राणि,संधि-कृत रूप
शुक्लकृष्णे गती,-,शुक्लकृष्णे गती
गती हि,-,गती हि
हि एते,- [[इको यणचि (6.1.77)]],ह्येते
ह्येते जगतस्,-,ह्येते जगतस्
जगतस् शाश्वते,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],जगतः शाश्वते
शाश्वते मते,-,शाश्वते मते
मते,-,मते
एकया याति,-,एकया याति
याति अनावृत्तिम्,- [[इको यणचि (6.1.77)]],यात्यनावृत्तिम्
यात्यनावृत्तिम् अन्यया,-,यात्यनावृत्तिम् अन्यया
अन्यया आवर्तते,- [[अकः सवर्णे दीर्घः (6.1.101)]],अन्ययावर्तते
अन्ययावर्तते पुनर्,-,अन्ययावर्तते पुनर्
पुनर्,- [[खरवसानयोर्विसर्जनीयः (8.3.15)]],पुनः
