पद समूह,सूत्राणि,संधि-कृत रूप
नियतस्य तु,-,नियतस्य तु
तु संन्यासस्,-,तु संन्यासस्
संन्यासस् कर्मणस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[कुप्वोः ≍क≍पौ च (8.3.37)]],संन्यासः कर्मणस्
कर्मणस् न,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],कर्मणो न
न उपपद्यते,- [[आद्गुणः (6.1.87)]],नोपपद्यते
नोपपद्यते,-,नोपपद्यते
मोहात् तस्य,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],मोहात् तस्य
तस्य परित्यागस्,-,तस्य परित्यागस्
परित्यागस् तामसस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[विसर्जनीयस्य सः (8.3.34)]],परित्यागस् तामसस्
तामसस् परिकीर्तितस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[कुप्वोः ≍क≍पौ च (8.3.37)]],तामसः परिकीर्तितस्
परिकीर्तितस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],परिकीर्तितः
