पद समूह,सूत्राणि,संधि-कृत रूप
विषयेन्द्रियसंयोगात् यत्,- [[झलां जशोऽन्ते (8.2.39)]],विषयेन्द्रियसंयोगाद् यत्
यत् तत्,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],यत् तत्
तत् अग्रे,- [[झलां जशोऽन्ते (8.2.39)]],तद् अग्रे
अग्रे अमृतोपमम्,- [[एङः पदान्तादति (6.1.109)]],अग्रेऽमृतोपमम्
अग्रेऽमृतोपमम्,-,अग्रेऽमृतोपमम्
परिणामे विषम्,-,परिणामे विषम्
विषम् इव,-,विषम् इव
इव तत्,-,इव तत्
तत् सुखम्,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],तत् सुखम्
सुखम् राजसम्,- [[मोऽनुस्वारः (8.3.23)]],सुखं राजसम्
राजसम् स्मृतम्,- [[मोऽनुस्वारः (8.3.23)]],राजसं स्मृतम्
स्मृतम्,-,स्मृतम्
