पद समूह,सूत्राणि,संधि-कृत रूप
दातव्यम् इति,-,दातव्यम् इति
इति यत्,-,इति यत्
यत् दानम्,- [[झलां जशोऽन्ते (8.2.39)]],यद् दानम्
दानम् दीयते,- [[मोऽनुस्वारः (8.3.23)]],दानं दीयते
दीयते अनुपकारिणे,- [[एङः पदान्तादति (6.1.109)]],दीयतेऽनुपकारिणे
दीयतेऽनुपकारिणे,-,दीयतेऽनुपकारिणे
देशे काले,-,देशे काले
काले च,-,काले च
च पात्रे,-,च पात्रे
पात्रे च,-,पात्रे च
च तत्,-,च तत्
तत् दानम्,- [[झलां जशोऽन्ते (8.2.39)]],तद् दानम्
दानम् सात्त्विकम्,- [[मोऽनुस्वारः (8.3.23)]],दानं सात्त्विकम्
सात्त्विकम् स्मृतम्,- [[मोऽनुस्वारः (8.3.23)]],सात्त्विकं स्मृतम्
स्मृतम्,-,स्मृतम्
