पद समूह,सूत्राणि,संधि-कृत रूप
न तत्,-,न तत्
तत् भासयते,- [[झलां जशोऽन्ते (8.2.39)]],तद् भासयते
भासयते सूर्यस्,-,भासयते सूर्यस्
सूर्यस् न,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],सूर्यो न
न शशाङ्कस्,-,न शशाङ्कस्
शशाङ्कस् न,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],शशाङ्को न
न पावकस्,-,न पावकस्
पावकस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],पावकः
यत् गत्वा,- [[झलां जशोऽन्ते (8.2.39)]],यद् गत्वा
गत्वा न,-,गत्वा न
न निवर्तन्ते,-,न निवर्तन्ते
निवर्तन्ते तत्,-,निवर्तन्ते तत्
तत् धाम,- [[झलां जशोऽन्ते (8.2.39)]],तद् धाम
धाम परमम्,-,धाम परमम्
परमम् मम,- [[मोऽनुस्वारः (8.3.23)]],परमं मम
मम,-,मम
