पद समूह,सूत्राणि,संधि-कृत रूप
दूरेण हि,-,दूरेण हि
हि अवरम्,- [[इको यणचि (6.1.77)]],ह्यवरम्
ह्यवरम् कर्म,- [[मोऽनुस्वारः (8.3.23)]],ह्यवरं कर्म
कर्म बुद्धियोगात्,-,कर्म बुद्धियोगात्
बुद्धियोगात् धनञ्जय,- [[झलां जशोऽन्ते (8.2.39)]],बुद्धियोगाद् धनञ्जय
धनञ्जय,-,धनञ्जय
बुद्धौ शरणम्,-,बुद्धौ शरणम्
शरणम् अन्विच्छ,-,शरणम् अन्विच्छ
अन्विच्छ कृपणास्,-,अन्विच्छ कृपणास्
कृपणास् फलहेतवस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[कुप्वोः ≍क≍पौ च (8.3.37)]],कृपणाः फलहेतवस्
फलहेतवस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],फलहेतवः
