पद समूह,सूत्राणि,संधि-कृत रूप
आश्चर्यवत् पश्यति,- [[झलां_जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],आश्चर्यवत् पश्यति
पश्यति कश्चित्,-,पश्यति कश्चित्
कश्चित् एनम्,- [[झलां_जशोऽन्ते (8.2.39)]],कश्चिद् एनम्
एनम् आश्चर्यवत्,-,एनम् आश्चर्यवत्
आश्चर्यवत् वदति,- [[झलां_जशोऽन्ते (8.2.39)]],आश्चर्यवद् वदति
वदति तथा,-,वदति तथा
तथा एव,- [[वृद्धिरेचि (6.1.88)]],तथैव
तथैव च,-,तथैव च
च अन्यस्,- [[अकः सवर्णे दीर्घः (6.1.101)]],चान्यस्
चान्यस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],चान्यः
आश्चर्यवत् च,- [[झलां_जशोऽन्ते (8.2.39)]] [[स्तोः श्चुना श्चुः (8.4.40)]] [[खरि च (8.4.55)]],आश्चर्यवच् च
च एनम्,- [[वृद्धिरेचि (6.1.88)]],चैनम्
चैनम् अन्यस्,-,चैनम् अन्यस्
अन्यस् श\u200dृणोति,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],अन्यः श्\u200dृणोति
श\u200dृणोति श्रुत्वा,-,श\u200dृणोति श्रुत्वा
श्रुत्वा अपि,- [[अकः सवर्णे दीर्घः (6.1.101)]],श्रुत्वापि
श्रुत्वापि एनम्,- [[इको यणचि (6.1.77)]],श्रुत्वाप्येनम्
श्रुत्वाप्येनम् वेद,- [[मोऽनुस्वारः (8.3.23)]],श्रुत्वाप्येनं वेद
वेद न,-,वेद न
न च,-,न च
च एव,- [[वृद्धिरेचि (6.1.88)]],चैव
चैव कश्चित्,-,चैव कश्चित्
कश्चित्,- [[झलां_जशोऽन्ते (8.2.39)]] [[वाऽवसाने (8.4.56)]],कश्चित्
