पद समूह,सूत्राणि,संधि-कृत रूप
सुखम् तु,- [[मोऽनुस्वारः (8.3.23)]],सुखं तु
तु इदानीम्,- [[इको यणचि (6.1.77)]],त्विदानीम्
त्विदानीम् त्रिविधम्,- [[मोऽनुस्वारः (8.3.23)]],त्विदानीं त्रिविधम्
त्रिविधम् शृणु,- [[मोऽनुस्वारः (8.3.23)]],त्रिविधं शृणु
शृणु मे,-,शृणु मे
मे भरतर्षभ,-,मे भरतर्षभ
भरतर्षभ,-,भरतर्षभ
अभ्यासात् रमते,- [[झलां जशोऽन्ते (8.2.39)]],अभ्यासाद् रमते
रमते यत्र,-,रमते यत्र
यत्र दुःखान्तम्,-,यत्र दुःखान्तम्
दुःखान्तम् च,- [[मोऽनुस्वारः (8.3.23)]],दुःखान्तं च
च निगच्छति,-,च निगच्छति
निगच्छति,-,निगच्छति
