पद समूह,सूत्राणि,संधि-कृत रूप
कार्यम् इति,-,कार्यम् इति
इति एव,- [[इको यणचि (6.1.77)]],इत्येव
इत्येव यत्,-,इत्येव यत्
यत् कर्म,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],यत् कर्म
कर्म नियतम्,-,कर्म नियतम्
नियतम् क्रियते,- [[मोऽनुस्वारः (8.3.23)]],नियतं क्रियते
क्रियते अर्जुन,- [[एङः पदान्तादति (6.1.109)]],क्रियतेऽर्जुन
क्रियतेऽर्जुन,-,क्रियतेऽर्जुन
सङ्गम् त्यक्त्वा,- [[मोऽनुस्वारः (8.3.23)]],सङ्गं त्यक्त्वा
त्यक्त्वा फलम्,-,त्यक्त्वा फलम्
फलम् च,- [[मोऽनुस्वारः (8.3.23)]],फलं च
च एव,- [[वृद्धिरेचि (6.1.88)]],चैव
चैव सस्,-,चैव सस्
सस् त्यागस्,- [[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]],स त्यागस्
त्यागस् सात्त्विकस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],त्यागः सात्त्विकस्
सात्त्विकस् मतस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],सात्त्विको मतस्
मतस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],मतः
