पद समूह,सूत्राणि,संधि-कृत रूप
श्रेयान् स्वधर्मस्,-,श्रेयान् स्वधर्मस्
स्वधर्मस् विगुणस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],स्वधर्मो विगुणस्
विगुणस् परधर्मात्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[कुप्वोः ≍क≍पौ च (8.3.37)]],विगुणः परधर्मात्
परधर्मात् स्वनुष्ठितात्,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],परधर्मात् स्वनुष्ठितात्
स्वनुष्ठितात्,- [[झलां जशोऽन्ते (8.2.39)]] [[वाऽवसाने (8.4.56)]],स्वनुष्ठितात्
स्वभावनियतम् कर्म,- [[मोऽनुस्वारः (8.3.23)]],स्वभावनियतं कर्म
कर्म कुर्वन्,-,कर्म कुर्वन्
कुर्वन् न,-,कुर्वन् न
न आप्नोति,- [[अकः सवर्णे दीर्घः (6.1.101)]],नाप्नोति
नाप्नोति किल्बिषम्,-,नाप्नोति किल्बिषम्
किल्बिषम्,-,किल्बिषम्
