पद समूह,सूत्राणि,संधि-कृत रूप
आदित्यानाम् अहम्,-,आदित्यानाम् अहम्
अहम् विष्णुस्,- [[मोऽनुस्वारः (8.3.23)]],अहं विष्णुस्
विष्णुस् ज्योतिषाम्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]],विष्णुर् ज्योतिषाम्
ज्योतिषाम् रविस्,- [[मोऽनुस्वारः (8.3.23)]],ज्योतिषां रविस्
रविस् अंशुमान्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]],रविर् अंशुमान्
अंशुमान्,-,अंशुमान्
मरीचिस् मरुताम्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]],मरीचिर् मरुताम्
मरुताम् अस्मि,-,मरुताम् अस्मि
अस्मि नक्षत्राणाम्,-,अस्मि नक्षत्राणाम्
नक्षत्राणाम् अहम्,-,नक्षत्राणाम् अहम्
अहम् शशी,- [[मोऽनुस्वारः (8.3.23)]],अहं शशी
शशी,-,शशी
