पद समूह,सूत्राणि,संधि-कृत रूप
अनुबन्धम् क्षयम्,- [[मोऽनुस्वारः (8.3.23)]],अनुबन्धं क्षयम्
क्षयम् हिंसाम्,- [[मोऽनुस्वारः (8.3.23)]],क्षयं हिंसाम्
हिंसाम् अनपेक्ष्य,-,हिंसाम् अनपेक्ष्य
अनपेक्ष्य च,-,अनपेक्ष्य च
च पौरुषम्,-,च पौरुषम्
पौरुषम्,-,पौरुषम्
मोहात् आरभ्यते,- [[झलां जशोऽन्ते (8.2.39)]],मोहाद् आरभ्यते
आरभ्यते कर्म,-,आरभ्यते कर्म
कर्म यत्,-,कर्म यत्
यत् तत्,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],यत् तत्
तत् तामसम्,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],तत् तामसम्
तामसम् उच्यते,-,तामसम् उच्यते
उच्यते,-,उच्यते
