पद समूह,सूत्राणि,संधि-कृत रूप
तस्मात् त्वम्,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],तस्मात् त्वम्
त्वम् इन्द्रियाणि,-,त्वम् इन्द्रियाणि
इन्द्रियाणि आदौ,- [[इको यणचि (6.1.77)]],इन्द्रियाण्यादौ
इन्द्रियाण्यादौ नियम्य,-,इन्द्रियाण्यादौ नियम्य
नियम्य भरतर्षभ,-,नियम्य भरतर्षभ
भरतर्षभ,-,भरतर्षभ
पाप्मानम् प्रजहि,- [[मोऽनुस्वारः (8.3.23)]],पाप्मानं प्रजहि
प्रजहि हि,-,प्रजहि हि
हि एनम्,- [[इको यणचि (6.1.77)]],ह्येनम्
ह्येनम् ज्ञानविज्ञाननाशनम्,- [[मोऽनुस्वारः (8.3.23)]],ह्येनं ज्ञानविज्ञाननाशनम्
ज्ञानविज्ञाननाशनम्,-,ज्ञानविज्ञाननाशनम्
