पद समूह,सूत्राणि,संधि-कृत रूप
कथम् भीष्मम्,- [[मोऽनुस्वारः (8.3.23)]],कथं भीष्मम्
भीष्मम् अहम्,-,भीष्मम् अहम्
अहम् सङ्ख्ये,- [[मोऽनुस्वारः (8.3.23)]],अहं सङ्ख्ये
सङ्ख्ये द्रोणम्,-,सङ्ख्ये द्रोणम्
द्रोणम् च,- [[मोऽनुस्वारः (8.3.23)]],द्रोणं च
च मधुसूदन,-,च मधुसूदन
मधुसूदन,-,मधुसूदन
इषुभिस् प्रतियोत्स्यामि,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[कुप्वोः ≍क≍पौ च (8.3.37)]],इषुभिः प्रतियोत्स्यामि
प्रतियोत्स्यामि पूजार्हौ,-,प्रतियोत्स्यामि पूजार्हौ
पूजार्हौ अरिसूदन,- [[एचोऽयवायावः (6.1.78)]],पूजार्हावरिसूदन
