पद समूह,सूत्राणि,संधि-कृत रूप
न हि,-,न हि
हि देहभृता,-,हि देहभृता
देहभृता शक्यम्,-,देहभृता शक्यम्
शक्यम् त्यक्तुम्,- [[मोऽनुस्वारः (8.3.23)]],शक्यं त्यक्तुम्
त्यक्तुम् कर्माणि,- [[मोऽनुस्वारः (8.3.23)]],त्यक्तुं कर्माणि
कर्माणि अशेषतस्,- [[इको यणचि (6.1.77)]],कर्माण्यशेषतस्
कर्माण्यशेषतस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],कर्माण्यशेषतः
यस् तु,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[विसर्जनीयस्य सः (8.3.34)]],यस् तु
तु कर्मफलत्यागी,-,तु कर्मफलत्यागी
कर्मफलत्यागी सस्,-,कर्मफलत्यागी सस्
सस् त्यागी,- [[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]],स त्यागी
त्यागी इति,- [[अकः सवर्णे दीर्घः (6.1.101)]],त्यागीति
त्यागीति अभिधीयते,- [[इको यणचि (6.1.77)]],त्यागीत्यभिधीयते
त्यागीत्यभिधीयते,-,त्यागीत्यभिधीयते
