पद समूह,सूत्राणि,संधि-कृत रूप
ये हि,-,ये हि
हि संस्पर्शजास्,-,हि संस्पर्शजास्
संस्पर्शजास् भोगास्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]] [[हलि सर्वेषाम् (8.3.22)]],संस्पर्शजा भोगास्
भोगास् दुःखयोनयस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]] [[हलि सर्वेषाम् (8.3.22)]],भोगा दुःखयोनयस्
दुःखयोनयस् एव,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]] [[लोपः शाकल्यस्य (8.3.19)]],दुःखयोनय एव
एव ते,-,एव ते
ते,-,ते
आदि अन्तवन्तस्,- [[इको यणचि (6.1.77)]],आद्यन्तवन्तस्
आद्यन्तवन्तस् कौन्तेय,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[कुप्वोः ≍क≍पौ च (8.3.37)]],आद्यन्तवन्तः कौन्तेय
कौन्तेय न,-,कौन्तेय न
न तेषु,-,न तेषु
तेषु रमते,-,तेषु रमते
रमते बुधस्,-,रमते बुधस्
बुधस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],बुधः
